Area,Main means of travel to education,Age group,Sex,Year,Value,Flags
"Riverside","Walk or jog","Total people - age group","Total people - sex","2018",27,
"Riverside","School bus","Total people - age group","Total people - sex","2018",27,
"Riverside","Public bus","Total people - age group","Total people - sex","2018",3,
"Riverside","Train","Total people - age group","Total people - sex","2018",0,
"Riverside","Ferry","Total people - age group","Total people - sex","2018",0,
"Riverside","Other","Total people - age group","Total people - sex","2018",3,
"Raumanga","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",909,
"Raumanga","Study at home","Total people - age group","Total people - sex","2018",51,
"Raumanga","Drive a car, truck or van","Total people - age group","Total people - sex","2018",96,
"Raumanga","Passenger in a car, truck or van","Total people - age group","Total people - sex","2018",471,
"Raumanga","Bicycle","Total people - age group","Total people - sex","2018",9,
"Raumanga","Walk or jog","Total people - age group","Total people - sex","2018",132,
"Raumanga","School bus","Total people - age group","Total people - sex","2018",69,
"Raumanga","Public bus","Total people - age group","Total people - sex","2018",51,
"Raumanga","Train","Total people - age group","Total people - sex","2018",0,
"Raumanga","Ferry","Total people - age group","Total people - sex","2018",0,
"Raumanga","Other","Total people - age group","Total people - sex","2018",27,
"Tarewa","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",525,
"Tarewa","Study at home","Total people - age group","Total people - sex","2018",18,
"Tarewa","Drive a car, truck or van","Total people - age group","Total people - sex","2018",45,
"Tarewa","Passenger in a car, truck or van","Total people - age group","Total people - sex","2018",276,
"Tarewa","Bicycle","Total people - age group","Total people - sex","2018",6,
"Tarewa","Walk or jog","Total people - age group","Total people - sex","2018",99,
"Tarewa","School bus","Total people - age group","Total people - sex","2018",57,
"Tarewa","Public bus","Total people - age group","Total people - sex","2018",18,
"Tarewa","Train","Total people - age group","Total people - sex","2018",3,
"Tarewa","Ferry","Total people - age group","Total people - sex","2018",0,
"Tarewa","Other","Total people - age group","Total people - sex","2018",3,
"Morningside (Whangarei District)","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",540,
"Morningside (Whangarei District)","Study at home","Total people - age group","Total people - sex","2018",36,
"Morningside (Whangarei District)","Drive a car, truck or van","Total people - age group","Total people - sex","2018",69,
"Morningside (Whangarei District)","Passenger in a car, truck or van","Total people - age group","Total people - sex","2018",270,
"Morningside (Whangarei District)","Bicycle","Total people - age group","Total people - sex","2018",6,
"Morningside (Whangarei District)","Walk or jog","Total people - age group","Total people - sex","2018",117,
"Morningside (Whangarei District)","School bus","Total people - age group","Total people - sex","2018",21,
"Morningside (Whangarei District)","Public bus","Total people - age group","Total people - sex","2018",12,
"Morningside (Whangarei District)","Train","Total people - age group","Total people - sex","2018",0,
"Morningside (Whangarei District)","Ferry","Total people - age group","Total people - sex","2018",0,
"Morningside (Whangarei District)","Other","Total people - age group","Total people - sex","2018",6,
"Ngunguru","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",297,
"Ngunguru","Study at home","Total people - age group","Total people - sex","2018",21,
"Ngunguru","Drive a car, truck or van","Total people - age group","Total people - sex","2018",27,
"Ngunguru","Passenger in a car, truck or van","Total people - age group","Total people - sex","2018",123,
"Ngunguru","Bicycle","Total people - age group","Total people - sex","2018",27,
"Ngunguru","Walk or jog","Total people - age group","Total people - sex","2018",33,
"Ngunguru","School bus","Total people - age group","Total people - sex","2018",63,
"Ngunguru","Public bus","Total people - age group","Total people - sex","2018",3,
"Ngunguru","Train","Total people - age group","Total people - sex","2018",0,
"Ngunguru","Ferry","Total people - age group","Total people - sex","2018",0,
"Ngunguru","Other","Total people - age group","Total people - sex","2018",0,
"Oakleigh-Mangapai","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",528,
"Oakleigh-Mangapai","Study at home","Total people - age group","Total people - sex","2018",48,
"Oakleigh-Mangapai","Drive a car, truck or van","Total people - age group","Total people - sex","2018",54,
"Oakleigh-Mangapai","Passenger in a car, truck or van","Total people - age group","Total people - sex","2018",174,
"Oakleigh-Mangapai","Bicycle","Total people - age group","Total people - sex","2018",0,
"Oakleigh-Mangapai","Walk or jog","Total people - age group","Total people - sex","2018",36,
"Oakleigh-Mangapai","School bus","Total people - age group","Total people - sex","2018",216,
"Oakleigh-Mangapai","Public bus","Total people - age group","Total people - sex","2018",0,
"Oakleigh-Mangapai","Train","Total people - age group","Total people - sex","2018",0,
"Oakleigh-Mangapai","Ferry","Total people - age group","Total people - sex","2018",0,
"Oakleigh-Mangapai","Other","Total people - age group","Total people - sex","2018",0,
"Port-Limeburners","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",9,
"Port-Limeburners","Study at home","Total people - age group","Total people - sex","2018",,c
"Port-Limeburners","Drive a car, truck or van","Total people - age group","Total people - sex","2018",,c
"Port-Limeburners","Passenger in a car, truck or van","Total people - age group","Total people - sex","2018",,c
"Port-Limeburners","Bicycle","Total people - age group","Total people - sex","2018",,c
"Port-Limeburners","Walk or jog","Total people - age group","Total people - sex","2018",,c
"Port-Limeburners","School bus","Total people - age group","Total people - sex","2018",,c
"Port-Limeburners","Public bus","Total people - age group","Total people - sex","2018",,c
"Port-Limeburners","Train","Total people - age group","Total people - sex","2018",,c
"Port-Limeburners","Ferry","Total people - age group","Total people - sex","2018",,c
"Port-Limeburners","Other","Total people - age group","Total people - sex","2018",,c
"Pataua","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",399,
"Pataua","Study at home","Total people - age group","Total people - sex","2018",27,
"Pataua","Drive a car, truck or van","Total people - age group","Total people - sex","2018",33,
"Pataua","Passenger in a car, truck or van","Total people - age group","Total people - sex","2018",162,
"Pataua","Bicycle","Total people - age group","Total people - sex","2018",0,
"Pataua","Walk or jog","Total people - age group","Total people - sex","2018",6,
"Pataua","School bus","Total people - age group","Total people - sex","2018",153,
"Pataua","Public bus","Total people - age group","Total people - sex","2018",9,
"Pataua","Train","Total people - age group","Total people - sex","2018",3,
"Pataua","Ferry","Total people - age group","Total people - sex","2018",0,
"Pataua","Other","Total people - age group","Total people - sex","2018",0,
"Onerahi Park","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",306,
"Onerahi Park","Study at home","Total people - age group","Total people - sex","2018",21,
"Onerahi Park","Drive a car, truck or van","Total people - age group","Total people - sex","2018",33,
"Onerahi Park","Passenger in a car, truck or van","Total people - age group","Total people - sex","2018",144,
"Onerahi Park","Bicycle","Total people - age group","Total people - sex","2018",0,
"Onerahi Park","Walk or jog","Total people - age group","Total people - sex","2018",30,
"Onerahi Park","School bus","Total people - age group","Total people - sex","2018",69,
"Onerahi Park","Public bus","Total people - age group","Total people - sex","2018",9,
"Onerahi Park","Train","Total people - age group","Total people - sex","2018",0,
"Onerahi Park","Ferry","Total people - age group","Total people - sex","2018",0,
"Onerahi Park","Other","Total people - age group","Total people - sex","2018",0,
"Sherwood Rise","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",555,
"Sherwood Rise","Study at home","Total people - age group","Total people - sex","2018",45,
"Sherwood Rise","Drive a car, truck or van","Total people - age group","Total people - sex","2018",60,
"Sherwood Rise","Passenger in a car, truck or van","Total people - age group","Total people - sex","2018",276,
"Sherwood Rise","Bicycle","Total people - age group","Total people - sex","2018",3,
"Sherwood Rise","Walk or jog","Total people - age group","Total people - sex","2018",39,
"Sherwood Rise","School bus","Total people - age group","Total people - sex","2018",102,
"Sherwood Rise","Public bus","Total people - age group","Total people - sex","2018",24,
"Sherwood Rise","Train","Total people - age group","Total people - sex","2018",0,
"Sherwood Rise","Ferry","Total people - age group","Total people - sex","2018",0,
"Sherwood Rise","Other","Total people - age group","Total people - sex","2018",3,
"Onerahi","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",561,
"Onerahi","Study at home","Total people - age group","Total people - sex","2018",33,
"Onerahi","Drive a car, truck or van","Total people - age group","Total people - sex","2018",69,
"Onerahi","Passenger in a car, truck or van","Total people - age group","Total people - sex","2018",219,
"Onerahi","Bicycle","Total people - age group","Total people - sex","2018",6,
"Onerahi","Walk or jog","Total people - age group","Total people - sex","2018",87,
"Onerahi","School bus","Total people - age group","Total people - sex","2018",105,
"Onerahi","Public bus","Total people - age group","Total people - sex","2018",33,
"Onerahi","Train","Total people - age group","Total people - sex","2018",0,
"Onerahi","Ferry","Total people - age group","Total people - sex","2018",0,
"Onerahi","Other","Total people - age group","Total people - sex","2018",9,
"Parua Bay","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",540,
"Parua Bay","Study at home","Total people - age group","Total people - sex","2018",45,
"Parua Bay","Drive a car, truck or van","Total people - age group","Total people - sex","2018",54,
"Parua Bay","Passenger in a car, truck or van","Total people - age group","Total people - sex","2018",228,
"Parua Bay","Bicycle","Total people - age group","Total people - sex","2018",6,
"Parua Bay","Walk or jog","Total people - age group","Total people - sex","2018",51,
"Parua Bay","School bus","Total people - age group","Total people - sex","2018",153,
"Parua Bay","Public bus","Total people - age group","Total people - sex","2018",0,
"Parua Bay","Train","Total people - age group","Total people - sex","2018",0,
"Parua Bay","Ferry","Total people - age group","Total people - sex","2018",0,
"Parua Bay","Other","Total people - age group","Total people - sex","2018",3,
"Bream Bay","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",465,
"Bream Bay","Study at home","Total people - age group","Total people - sex","2018",27,
"Bream Bay","Drive a car, truck or van","Total people - age group","Total people - sex","2018",42,
"Bream Bay","Passenger in a car, truck or van","Total people - age group","Total people - sex","2018",114,
"Bream Bay","Bicycle","Total people - age group","Total people - sex","2018",0,
"Bream Bay","Walk or jog","Total people - age group","Total people - sex","2018",6,
"Bream Bay","School bus","Total people - age group","Total people - sex","2018",264,
"Bream Bay","Public bus","Total people - age group","Total people - sex","2018",12,
"Bream Bay","Train","Total people - age group","Total people - sex","2018",0,
"Bream Bay","Ferry","Total people - age group","Total people - sex","2018",0,
"Bream Bay","Other","Total people - age group","Total people - sex","2018",6,
"Marsden Bay","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",444,
"Marsden Bay","Study at home","Total people - age group","Total people - sex","2018",24,
"Marsden Bay","Drive a car, truck or van","Total people - age group","Total people - sex","2018",45,
"Marsden Bay","Passenger in a car, truck or van","Total people - age group","Total people - sex","2018",171,
"Marsden Bay","Bicycle","Total people - age group","Total people - sex","2018",21,
"Marsden Bay","Walk or jog","Total people - age group","Total people - sex","2018",24,
"Marsden Bay","School bus","Total people - age group","Total people - sex","2018",156,
"Marsden Bay","Public bus","Total people - age group","Total people - sex","2018",0,
"Marsden Bay","Train","Total people - age group","Total people - sex","2018",0,
"Marsden Bay","Ferry","Total people - age group","Total people - sex","2018",0,
"Marsden Bay","Other","Total people - age group","Total people - sex","2018",3,
"Bream Head","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",267,
"Bream Head","Study at home","Total people - age group","Total people - sex","2018",42,
"Bream Head","Drive a car, truck or van","Total people - age group","Total people - sex","2018",18,
"Bream Head","Passenger in a car, truck or van","Total people - age group","Total people - sex","2018",126,
"Bream Head","Bicycle","Total people - age group","Total people - sex","2018",0,
"Bream Head","Walk or jog","Total people - age group","Total people - sex","2018",3,
"Bream Head","School bus","Total people - age group","Total people - sex","2018",69,
"Bream Head","Public bus","Total people - age group","Total people - sex","2018",0,
"Bream Head","Train","Total people - age group","Total people - sex","2018",0,
"Bream Head","Ferry","Total people - age group","Total people - sex","2018",0,
"Bream Head","Other","Total people - age group","Total people - sex","2018",6,
"Waipu","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",465,
"Waipu","Study at home","Total people - age group","Total people - sex","2018",39,
"Waipu","Drive a car, truck or van","Total people - age group","Total people - sex","2018",45,
"Waipu","Passenger in a car, truck or van","Total people - age group","Total people - sex","2018",132,
"Waipu","Bicycle","Total people - age group","Total people - sex","2018",3,
"Waipu","Walk or jog","Total people - age group","Total people - sex","2018",21,
"Waipu","School bus","Total people - age group","Total people - sex","2018",216,
"Waipu","Public bus","Total people - age group","Total people - sex","2018",6,
"Waipu","Train","Total people - age group","Total people - sex","2018",0,
"Waipu","Ferry","Total people - age group","Total people - sex","2018",0,
"Waipu","Other","Total people - age group","Total people - sex","2018",0,
"Kaipara Coastal","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",741,
"Kaipara Coastal","Study at home","Total people - age group","Total people - sex","2018",72,
"Kaipara Coastal","Drive a car, truck or van","Total people - age group","Total people - sex","2018",63,
"Kaipara Coastal","Passenger in a car, truck or van","Total people - age group","Total people - sex","2018",180,
"Kaipara Coastal","Bicycle","Total people - age group","Total people - sex","2018",9,
"Kaipara Coastal","Walk or jog","Total people - age group","Total people - sex","2018",51,
"Kaipara Coastal","School bus","Total people - age group","Total people - sex","2018",351,
"Kaipara Coastal","Public bus","Total people - age group","Total people - sex","2018",9,
"Kaipara Coastal","Train","Total people - age group","Total people - sex","2018",0,
"Kaipara Coastal","Ferry","Total people - age group","Total people - sex","2018",0,
"Kaipara Coastal","Other","Total people - age group","Total people - sex","2018",6,
"Maungaru","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",408,
"Maungaru","Study at home","Total people - age group","Total people - sex","2018",33,
"Maungaru","Drive a car, truck or van","Total people - age group","Total people - sex","2018",39,
"Maungaru","Passenger in a car, truck or van","Total people - age group","Total people - sex","2018",147,
"Maungaru","Bicycle","Total people - age group","Total people - sex","2018",0,
"Maungaru","Walk or jog","Total people - age group","Total people - sex","2018",24,
"Maungaru","School bus","Total people - age group","Total people - sex","2018",153,
"Maungaru","Public bus","Total people - age group","Total people - sex","2018",9,
"Maungaru","Train","Total people - age group","Total people - sex","2018",0,
"Maungaru","Ferry","Total people - age group","Total people - sex","2018",0,
"Maungaru","Other","Total people - age group","Total people - sex","2018",3,
"Dargaville","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",963,
"Dargaville","Study at home","Total people - age group","Total people - sex","2018",75,
"Dargaville","Drive a car, truck or van","Total people - age group","Total people - sex","2018",66,
"Dargaville","Passenger in a car, truck or van","Total people - age group","Total people - sex","2018",438,
"Dargaville","Bicycle","Total people - age group","Total people - sex","2018",21,
"Dargaville","Walk or jog","Total people - age group","Total people - sex","2018",288,
"Dargaville","School bus","Total people - age group","Total people - sex","2018",60,
"Dargaville","Public bus","Total people - age group","Total people - sex","2018",6,
"Dargaville","Train","Total people - age group","Total people - sex","2018",0,
"Dargaville","Ferry","Total people - age group","Total people - sex","2018",0,
"Dargaville","Other","Total people - age group","Total people - sex","2018",12,
"Ruawai-Matakohe","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",447,
"Ruawai-Matakohe","Study at home","Total people - age group","Total people - sex","2018",33,
"Ruawai-Matakohe","Drive a car, truck or van","Total people - age group","Total people - sex","2018",30,
"Ruawai-Matakohe","Passenger in a car, truck or van","Total people - age group","Total people - sex","2018",153,
"Ruawai-Matakohe","Bicycle","Total people - age group","Total people - sex","2018",3,
"Ruawai-Matakohe","Walk or jog","Total people - age group","Total people - sex","2018",45,
"Ruawai-Matakohe","School bus","Total people - age group","Total people - sex","2018",183,
"Ruawai-Matakohe","Public bus","Total people - age group","Total people - sex","2018",6,
"Ruawai-Matakohe","Train","Total people - age group","Total people - sex","2018",0,
"Ruawai-Matakohe","Ferry","Total people - age group","Total people - sex","2018",0,
"Ruawai-Matakohe","Other","Total people - age group","Total people - sex","2018",3,
"Maungaturoto","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",279,
"Maungaturoto","Study at home","Total people - age group","Total people - sex","2018",15,
"Maungaturoto","Drive a car, truck or van","Total people - age group","Total people - sex","2018",27,
"Maungaturoto","Passenger in a car, truck or van","Total people - age group","Total people - sex","2018",117,
"Maungaturoto","Bicycle","Total people - age group","Total people - sex","2018",3,
"Maungaturoto","Walk or jog","Total people - age group","Total people - sex","2018",63,
"Maungaturoto","School bus","Total people - age group","Total people - sex","2018",45,
"Maungaturoto","Public bus","Total people - age group","Total people - sex","2018",0,
"Maungaturoto","Train","Total people - age group","Total people - sex","2018",0,
"Maungaturoto","Ferry","Total people - age group","Total people - sex","2018",0,
"Maungaturoto","Other","Total people - age group","Total people - sex","2018",6,
"Kaiwaka","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",486,
"Kaiwaka","Study at home","Total people - age group","Total people - sex","2018",33,
"Kaiwaka","Drive a car, truck or van","Total people - age group","Total people - sex","2018",36,
"Kaiwaka","Passenger in a car, truck or van","Total people - age group","Total people - sex","2018",135,
"Kaiwaka","Bicycle","Total people - age group","Total people - sex","2018",3,
"Kaiwaka","Walk or jog","Total people - age group","Total people - sex","2018",18,
"Kaiwaka","School bus","Total people - age group","Total people - sex","2018",255,
"Kaiwaka","Public bus","Total people - age group","Total people - sex","2018",3,
"Kaiwaka","Train","Total people - age group","Total people - sex","2018",0,
"Kaiwaka","Ferry","Total people - age group","Total people - sex","2018",0,
"Kaiwaka","Other","Total people - age group","Total people - sex","2018",3,
"Mangawhai Rural","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",390,
"Mangawhai Rural","Study at home","Total people - age group","Total people - sex","2018",42,
"Mangawhai Rural","Drive a car, truck or van","Total people - age group","Total people - sex","2018",30,
"Mangawhai Rural","Passenger in a car, truck or van","Total people - age group","Total people - sex","2018",153,
"Mangawhai Rural","Bicycle","Total people - age group","Total people - sex","2018",3,
"Mangawhai Rural","Walk or jog","Total people - age group","Total people - sex","2018",6,
"Mangawhai Rural","School bus","Total people - age group","Total people - sex","2018",147,
"Mangawhai Rural","Public bus","Total people - age group","Total people - sex","2018",6,
"Mangawhai Rural","Train","Total people - age group","Total people - sex","2018",0,
"Mangawhai Rural","Ferry","Total people - age group","Total people - sex","2018",0,
"Mangawhai Rural","Other","Total people - age group","Total people - sex","2018",6,
"Mangawhai Heads","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",285,
"Mangawhai Heads","Study at home","Total people - age group","Total people - sex","2018",27,
"Mangawhai Heads","Drive a car, truck or van","Total people - age group","Total people - sex","2018",18,
"Mangawhai Heads","Passenger in a car, truck or van","Total people - age group","Total people - sex","2018",117,
"Mangawhai Heads","Bicycle","Total people - age group","Total people - sex","2018",0,
"Mangawhai Heads","Walk or jog","Total people - age group","Total people - sex","2018",3,
"Mangawhai Heads","School bus","Total people - age group","Total people - sex","2018",123,
"Mangawhai Heads","Public bus","Total people - age group","Total people - sex","2018",6,
"Mangawhai Heads","Train","Total people - age group","Total people - sex","2018",0,
"Mangawhai Heads","Ferry","Total people - age group","Total people - sex","2018",0,
"Mangawhai Heads","Other","Total people - age group","Total people - sex","2018",0,
"Inlet Mangawhai Harbour","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",0,
"Inlet Mangawhai Harbour","Study at home","Total people - age group","Total people - sex","2018",,c
"Inlet Mangawhai Harbour","Drive a car, truck or van","Total people - age group","Total people - sex","2018",,c
"Inlet Mangawhai Harbour","Passenger in a car, truck or van","Total people - age group","Total people - sex","2018",,c
"Inlet Mangawhai Harbour","Bicycle","Total people - age group","Total people - sex","2018",,c
"Inlet Mangawhai Harbour","Walk or jog","Total people - age group","Total people - sex","2018",,c
"Inlet Mangawhai Harbour","School bus","Total people - age group","Total people - sex","2018",,c
"Inlet Mangawhai Harbour","Public bus","Total people - age group","Total people - sex","2018",,c
"Inlet Mangawhai Harbour","Train","Total people - age group","Total people - sex","2018",,c
"Inlet Mangawhai Harbour","Ferry","Total people - age group","Total people - sex","2018",,c
"Inlet Mangawhai Harbour","Other","Total people - age group","Total people - sex","2018",,c
"Mangawhai","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",162,
"Mangawhai","Study at home","Total people - age group","Total people - sex","2018",9,
"Mangawhai","Drive a car, truck or van","Total people - age group","Total people - sex","2018",15,
"Mangawhai","Passenger in a car, truck or van","Total people - age group","Total people - sex","2018",54,
"Mangawhai","Bicycle","Total people - age group","Total people - sex","2018",12,
"Mangawhai","Walk or jog","Total people - age group","Total people - sex","2018",36,
"Mangawhai","School bus","Total people - age group","Total people - sex","2018",36,
"Mangawhai","Public bus","Total people - age group","Total people - sex","2018",0,
"Mangawhai","Train","Total people - age group","Total people - sex","2018",0,
"Mangawhai","Ferry","Total people - age group","Total people - sex","2018",0,
"Mangawhai","Other","Total people - age group","Total people - sex","2018",0,
"Inlet Doubtless Bay","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",0,
"Inlet Doubtless Bay","Study at home","Total people - age group","Total people - sex","2018",,c
"Inlet Doubtless Bay","Drive a car, truck or van","Total people - age group","Total people - sex","2018",,c
"Inlet Doubtless Bay","Passenger in a car, truck or van","Total people - age group","Total people - sex","2018",,c
"Inlet Doubtless Bay","Bicycle","Total people - age group","Total people - sex","2018",,c
"Inlet Doubtless Bay","Walk or jog","Total people - age group","Total people - sex","2018",,c
"Inlet Doubtless Bay","School bus","Total people - age group","Total people - sex","2018",,c
"Inlet Doubtless Bay","Public bus","Total people - age group","Total people - sex","2018",,c
"Inlet Doubtless Bay","Train","Total people - age group","Total people - sex","2018",,c
"Inlet Doubtless Bay","Ferry","Total people - age group","Total people - sex","2018",,c
"Inlet Doubtless Bay","Other","Total people - age group","Total people - sex","2018",,c
"Inlet Kaipara Harbour North","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",0,
"Inlet Kaipara Harbour North","Study at home","Total people - age group","Total people - sex","2018",,c
"Inlet Kaipara Harbour North","Drive a car, truck or van","Total people - age group","Total people - sex","2018",,c
"Inlet Kaipara Harbour North","Passenger in a car, truck or van","Total people - age group","Total people - sex","2018",,c
"Inlet Kaipara Harbour North","Bicycle","Total people - age group","Total people - sex","2018",,c
"Inlet Kaipara Harbour North","Walk or jog","Total people - age group","Total people - sex","2018",,c
"Inlet Kaipara Harbour North","School bus","Total people - age group","Total people - sex","2018",,c
"Inlet Kaipara Harbour North","Public bus","Total people - age group","Total people - sex","2018",,c
"Inlet Kaipara Harbour North","Train","Total people - age group","Total people - sex","2018",,c
"Inlet Kaipara Harbour North","Ferry","Total people - age group","Total people - sex","2018",,c
"Inlet Kaipara Harbour North","Other","Total people - age group","Total people - sex","2018",,c
"Okahukura Peninsula","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",333,
"Okahukura Peninsula","Study at home","Total people - age group","Total people - sex","2018",39,
"Okahukura Peninsula","Drive a car, truck or van","Total people - age group","Total people - sex","2018",30,
"Okahukura Peninsula","Passenger in a car, truck or van","Total people - age group","Total people - sex","2018",126,
"Okahukura Peninsula","Bicycle","Total people - age group","Total people - sex","2018",0,
"Okahukura Peninsula","Walk or jog","Total people - age group","Total people - sex","2018",0,
"Okahukura Peninsula","School bus","Total people - age group","Total people - sex","2018",135,
"Okahukura Peninsula","Public bus","Total people - age group","Total people - sex","2018",0,
"Okahukura Peninsula","Train","Total people - age group","Total people - sex","2018",0,
"Okahukura Peninsula","Ferry","Total people - age group","Total people - sex","2018",0,
"Okahukura Peninsula","Other","Total people - age group","Total people - sex","2018",3,
"Inlet Kaipara Harbour South","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",0,
"Inlet Kaipara Harbour South","Study at home","Total people - age group","Total people - sex","2018",,c
"Inlet Kaipara Harbour South","Drive a car, truck or van","Total people - age group","Total people - sex","2018",,c
"Inlet Kaipara Harbour South","Passenger in a car, truck or van","Total people - age group","Total people - sex","2018",,c
"Inlet Kaipara Harbour South","Bicycle","Total people - age group","Total people - sex","2018",,c
"Inlet Kaipara Harbour South","Walk or jog","Total people - age group","Total people - sex","2018",,c
"Inlet Kaipara Harbour South","School bus","Total people - age group","Total people - sex","2018",,c
"Inlet Kaipara Harbour South","Public bus","Total people - age group","Total people - sex","2018",,c
"Inlet Kaipara Harbour South","Train","Total people - age group","Total people - sex","2018",,c
"Inlet Kaipara Harbour South","Ferry","Total people - age group","Total people - sex","2018",,c
"Inlet Kaipara Harbour South","Other","Total people - age group","Total people - sex","2018",,c
"Cape Rodney","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",759,
"Cape Rodney","Study at home","Total people - age group","Total people - sex","2018",60,
"Cape Rodney","Drive a car, truck or van","Total people - age group","Total people - sex","2018",57,
"Cape Rodney","Passenger in a car, truck or van","Total people - age group","Total people - sex","2018",261,
"Cape Rodney","Bicycle","Total people - age group","Total people - sex","2018",6,
"Cape Rodney","Walk or jog","Total people - age group","Total people - sex","2018",27,
"Cape Rodney","School bus","Total people - age group","Total people - sex","2018",333,
"Cape Rodney","Public bus","Total people - age group","Total people - sex","2018",6,
"Cape Rodney","Train","Total people - age group","Total people - sex","2018",0,
"Cape Rodney","Ferry","Total people - age group","Total people - sex","2018",0,
"Cape Rodney","Other","Total people - age group","Total people - sex","2018",6,
"Wellsford","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",423,
"Wellsford","Study at home","Total people - age group","Total people - sex","2018",18,
"Wellsford","Drive a car, truck or van","Total people - age group","Total people - sex","2018",36,
"Wellsford","Passenger in a car, truck or van","Total people - age group","Total people - sex","2018",225,
"Wellsford","Bicycle","Total people - age group","Total people - sex","2018",3,
"Wellsford","Walk or jog","Total people - age group","Total people - sex","2018",96,
"Wellsford","School bus","Total people - age group","Total people - sex","2018",33,
"Wellsford","Public bus","Total people - age group","Total people - sex","2018",6,
"Wellsford","Train","Total people - age group","Total people - sex","2018",0,
"Wellsford","Ferry","Total people - age group","Total people - sex","2018",0,
"Wellsford","Other","Total people - age group","Total people - sex","2018",0,
"South Head","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",594,
"South Head","Study at home","Total people - age group","Total people - sex","2018",27,
"South Head","Drive a car, truck or van","Total people - age group","Total people - sex","2018",66,
"South Head","Passenger in a car, truck or van","Total people - age group","Total people - sex","2018",267,
"South Head","Bicycle","Total people - age group","Total people - sex","2018",3,
"South Head","Walk or jog","Total people - age group","Total people - sex","2018",15,
"South Head","School bus","Total people - age group","Total people - sex","2018",201,
"South Head","Public bus","Total people - age group","Total people - sex","2018",9,
"South Head","Train","Total people - age group","Total people - sex","2018",0,
"South Head","Ferry","Total people - age group","Total people - sex","2018",0,
"South Head","Other","Total people - age group","Total people - sex","2018",6,
"Kaipara Hills","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",507,
"Kaipara Hills","Study at home","Total people - age group","Total people - sex","2018",39,
"Kaipara Hills","Drive a car, truck or van","Total people - age group","Total people - sex","2018",42,
"Kaipara Hills","Passenger in a car, truck or van","Total people - age group","Total people - sex","2018",195,
"Kaipara Hills","Bicycle","Total people - age group","Total people - sex","2018",0,
"Kaipara Hills","Walk or jog","Total people - age group","Total people - sex","2018",9,
"Kaipara Hills","School bus","Total people - age group","Total people - sex","2018",210,
"Kaipara Hills","Public bus","Total people - age group","Total people - sex","2018",15,
"Kaipara Hills","Train","Total people - age group","Total people - sex","2018",0,
"Kaipara Hills","Ferry","Total people - age group","Total people - sex","2018",0,
"Kaipara Hills","Other","Total people - age group","Total people - sex","2018",3,
"Dome Valley-Matakana","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",342,
"Dome Valley-Matakana","Study at home","Total people - age group","Total people - sex","2018",18,
"Dome Valley-Matakana","Drive a car, truck or van","Total people - age group","Total people - sex","2018",18,
"Dome Valley-Matakana","Passenger in a car, truck or van","Total people - age group","Total people - sex","2018",126,
"Dome Valley-Matakana","Bicycle","Total people - age group","Total people - sex","2018",0,
"Dome Valley-Matakana","Walk or jog","Total people - age group","Total people - sex","2018",24,
"Dome Valley-Matakana","School bus","Total people - age group","Total people - sex","2018",138,
"Dome Valley-Matakana","Public bus","Total people - age group","Total people - sex","2018",15,
"Dome Valley-Matakana","Train","Total people - age group","Total people - sex","2018",0,
"Dome Valley-Matakana","Ferry","Total people - age group","Total people - sex","2018",0,
"Dome Valley-Matakana","Other","Total people - age group","Total people - sex","2018",6,
"Warkworth West","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",459,
"Warkworth West","Study at home","Total people - age group","Total people - sex","2018",30,
"Warkworth West","Drive a car, truck or van","Total people - age group","Total people - sex","2018",33,
