Area,Ethnic group,Number of languages spoken,Age group,Sex,Year,Value,Flags
"Woodville","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1266,
"Dannevirke West","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1713,
"Dannevirke East","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",2427,
"Kaitawa","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",555,
"Pahiatua","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",2349,
"Nireaha-Eketahuna","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1407,
"Waikawa (Horowhenua District)","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",636,
"Waikawa (Horowhenua District)","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",174,
"Miranui","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1575,
"Miranui","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",345,
"Donnelly Park","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",939,
"Donnelly Park","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",312,
"Ohau-Manakau","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1824,
"Ohau-Manakau","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",372,
"Kawiu South","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1986,
"Kawiu South","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",618,
"Fairfield (Horowhenua District)","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1224,
"Fairfield (Horowhenua District)","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",270,
"Taitoko","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1191,
"Taitoko","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",795,
"Waiopehu","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1050,
"Waiopehu","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",396,
"Makahika","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",882,
"Makomako","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1062,
"Makomako","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",399,
"Kawiu North","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1521,
"Kawiu North","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",258,
"Levin Central","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",780,
"Levin Central","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",231,
"Tararua","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",906,
"Tararua","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",294,
"Shannon","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1098,
"Shannon","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",603,
"Queenwood (Horowhenua District)","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1620,
"Queenwood (Horowhenua District)","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",456,
"Playford Park","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1341,
"Playford Park","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",468,
"Cannons Creek East","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",771,
"Cannons Creek East","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",924,
"Cannons Creek South","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",432,
"Cannons Creek South","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",465,
"Akatarawa","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",609,
"Akatarawa","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",54,
"Riverstone Terraces","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1293,
"Tararua Forest Park","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",,c
"Paekakariki","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1560,
"Mana Island","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",,c
"Plimmerton","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1932,
"Titahi Bay North","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",963,
"Titahi Bay South","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",2463,
"Elsdon-Takapuwahia","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1278,
"Onepoto","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",618,
"Camborne","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1800,
"Inlet Porirua Harbour","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",,c
"Porirua Central","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",75,
"Papakowhai","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1896,
"Aotea","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",258,
"Postgate","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",2136,
"Postgate","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",411,
"Ascot Park","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1290,
"Ascot Park","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",840,
"Whitby","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",2637,
"Whitby","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",321,
"Porirua East","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",870,
"Porirua East","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",696,
"Endeavour","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",3957,
"Endeavour","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",342,
"Cannons Creek North","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",975,
"Cannons Creek North","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1002,
"Waitangirua","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",969,
"Waitangirua","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1266,
"Ranui Heights","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",828,
"Ranui Heights","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",321,
"Riverstone Terraces","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",168,
"Heretaunga","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",2025,
"Heretaunga","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",312,
"Birchville-Brown Owl","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",3087,
"Birchville-Brown Owl","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",480,
"Poets Block","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1899,
"Poets Block","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",432,
"Brentwood (Upper Hutt City)","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1581,
"Brentwood (Upper Hutt City)","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",501,
"Silverstream (Upper Hutt City)","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",3138,
"Silverstream (Upper Hutt City)","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",291,
"Elderslea","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",2625,
"Elderslea","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",621,
"Trentham North","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",2301,
"Trentham North","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",564,
"Stokes Valley Central","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",525,
"Taita South","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1509,
"Taita South","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",858,
"Totara Park","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",2538,
"Totara Park","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",447,
"Trentham South","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1200,
"Trentham South","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",528,
"Mangaroa","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1926,
"Mangaroa","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",138,
"Ebdentown","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1968,
"Ebdentown","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",423,
"Wallaceville","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1893,
"Wallaceville","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",384,
"Maoribank","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",2574,
"Maoribank","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",798,
"Te Marua","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",870,
"Te Marua","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",153,
"Pinehaven","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1848,
"Pinehaven","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",141,
"Clouston Park","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1845,
"Clouston Park","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",423,
"Upper Hutt Central","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",492,
"Upper Hutt Central","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",63,
"Belmont Park","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",318,
"Belmont Park","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",24,
"Maungaraki","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",2958,
"Maungaraki","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",405,
"Korokoro","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1269,
"Korokoro","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",162,
"Kelson","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",2136,
"Kelson","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",270,
"Normandale","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1752,
"Normandale","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",144,
"Belmont (Lower Hutt City)","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",2178,
"Belmont (Lower Hutt City)","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",267,
"Petone Central","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",651,
"Petone Central","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",177,
"Tirohanga","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",951,
"Tirohanga","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",75,
"Manor Park","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",345,
"Manor Park","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",51,
"Alicetown-Melling","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1878,
"Alicetown-Melling","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",324,
"Taita North","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1191,
"Taita North","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",735,
"Boulcott","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1875,
"Boulcott","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",231,
"Hutt Central North","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",546,
"Hutt Central North","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",99,
"Avalon West","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1665,
"Avalon West","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",255,
"Stokes Valley Central","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1476,
"Petone East","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",2853,
"Petone East","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",516,
"Hutt Central South","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",2340,
"Hutt Central South","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",222,
"Stokes Valley North","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",2661,
"Stokes Valley North","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",663,
"Petone Esplanade","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1860,
"Petone Esplanade","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",471,
"Epuni West","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1854,
"Epuni West","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",351,
"Avalon East","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1278,
"Avalon East","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",471,
"Woburn","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1260,
"Woburn","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",156,
"Naenae Central","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1797,
"Naenae Central","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",957,
"Waterloo West","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1491,
"Waterloo West","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",210,
"Epuni East","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1977,
"Epuni East","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",462,
"Gracefield","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",120,
"Gracefield","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",27,
"Moera","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",813,
"Moera","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",432,
"Delaney","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1509,
"Delaney","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",828,
"Eastbourne","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",2583,
"Eastbourne","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",147,
"Homedale East","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",2202,
"Homedale East","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",900,
"Homedale West","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1878,
"Homedale West","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",753,
"Makara-Ohariu","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",876,
"Makara-Ohariu","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",96,
"Tawa North","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",2145,
"Tawa North","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",366,
"Linden","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1932,
"Kelburn","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1947,
"Kelburn","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",135,
"Waiwhetu","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",2526,
"Waiwhetu","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",879,
"Waterloo East","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",2286,
"Waterloo East","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",339,
"Naenae North","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1374,
"Naenae North","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",729,
"Manuka","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1395,
"Manuka","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",282,
"Naenae South","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1494,
"Naenae South","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",861,
"Towai","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",,c
"Towai","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",,c
"Arakura","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1734,
"Arakura","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",981,
"Eastern Bays","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1953,
"Eastern Bays","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",132,
"Pencarrow","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",579,
"Pencarrow","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",84,
"Wainuiomata West","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",2349,
"Wainuiomata West","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",804,
"Glendale","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",2562,
"Glendale","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1497,
"Wainuiomata Central","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1212,
"Wainuiomata Central","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",504,
"Courtenay","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",117,
"Kilbirnie Central","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1845,
"Kilbirnie Central","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",324,
"Island Bay West","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",2823,
"Island Bay West","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",315,
"Melrose","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1116,
"Melrose","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",120,
"Island Bay East","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",3006,
"Island Bay East","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",321,
"Miramar North","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",807,
"Miramar North","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",120,
"Kilbirnie East","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1113,
"Kilbirnie East","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",285,
"Lyall Bay","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1902,
"Lyall Bay","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",348,
"Miramar Central","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1200,
"Miramar Central","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",198,
"Southgate","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",942,
"Southgate","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",117,
"Karaka Bay-Worser Bay","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1368,
"Karaka Bay-Worser Bay","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",90,
"Houghton Bay","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1479,
"Houghton Bay","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",141,
"Miramar East","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",2481,
"Miramar East","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",183,
"Miramar South","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",2061,
"Miramar South","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",345,
"Rongotai","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",36,
"Rongotai","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",3,
"Strathmore (Wellington City)","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",2349,
"Strathmore (Wellington City)","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",621,
"Seatoun","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",2010,
"Seatoun","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",144,
"Brooklyn East","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",2337,
"Brooklyn East","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",204,
"Mount Cook West","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",3003,
"Mount Cook West","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",438,
"Vivian East","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1665,
"Vivian East","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",177,
"Brooklyn South","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1341,
"Brooklyn South","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",162,
"Oriental Bay","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1203,
"Oriental Bay","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",69,
"Mount Cook East","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",2019,
"Mount Cook East","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",267,
"Aro Valley","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",3189,
"Aro Valley","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",348,
"Wellington University","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1296,
"Wellington University","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",132,
"Wellington Central","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",2103,
"Wellington Central","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",201,
"Brooklyn North","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1773,
"Brooklyn North","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",120,
"Dixon Street","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",3003,
"Dixon Street","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",372,
"Vivian West","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",2589,
"Vivian West","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",279,
"Courtenay","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1335,
"Mount Victoria","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",3714,
"Mount Victoria","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",324,
"Roseneath","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1590,
"Roseneath","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",87,
"Owhiro Bay","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1491,
"Owhiro Bay","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",243,
"Kingston-Mornington-Vogeltown","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",2415,
"Kingston-Mornington-Vogeltown","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",249,
"Newtown North","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1482,
"Newtown North","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",210,
"Newtown West","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",2427,
"Newtown West","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",363,
"Hataitai North","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",3429,
"Hataitai North","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",324,
"Evans Bay","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",912,
"Evans Bay","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",120,
"Berhampore","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",2652,
"Berhampore","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",414,
"Hataitai South","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1263,
"Hataitai South","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",135,
"Maupuia","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",903,
"Maupuia","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",153,
"Newtown South","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",2103,
"Newtown South","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",354,
"Kopuaranga","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",840,
"Kopuaranga","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",93,
"Upper Plain","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1143,
"Upper Plain","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",144,
"Opaki","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1092,
"Opaki","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",93,
"Ngaumutawa","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1302,
"Inlet Wellington Harbour","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",,c
"Takaka","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1266,
"Upper Moutere","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1872,
"Lower Moutere","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",165,
"Inlets Motueka","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",,c
"Golden Downs","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1716,
"Murchison-Nelson Lakes","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",111,
"Inlet Waimea West","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",,c
"Waimea West","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1092,
"Appleby","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",90,
"Wakefield","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",2364,
"Brightwater","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",186,
"Hope","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",873,
"Richmond South (Tasman District)","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",27,
"Wilkes Park","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",2166,
"Templemore","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",81,
"Easby Park","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",2532,
"Easby Park","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",279,
"Fairose","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",57,
"Nelson Rural","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1767,
"Nelson Rural","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",165,
"Inlets Nelson City","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",51,
"Inlets Nelson City","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",3,
"Marybank","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",63,
"Nelson Airport","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",9,
"Tahunanui","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",2370,
